COUNTRY,DATE
BE,2024-11-01
BE,2024-11-11
BE,2024-12-25
BE,2025-01-01
BE,2025-04-20
BE,2025-04-21
BE,2025-05-01
BE,2025-05-29
BE,2025-06-08
BE,2025-06-09
BE,2025-07-21
BE,2025-08-15
BE,2025-11-01
BE,2025-11-11
BE,2025-12-25
BG,2024-09-06
BG,2024-09-22
BG,2024-12-24
BG,2024-12-25
BG,2024-12-26
BG,2024-09-23
BG,2025-01-01
BG,2025-03-03
BG,2025-04-18
BG,2025-04-19
BG,2025-04-20
BG,2025-04-21
BG,2025-05-01
BG,2025-05-06
BG,2025-05-24
BG,2025-09-06
BG,2025-09-22
BG,2025-12-24
BG,2025-12-25
BG,2025-12-26
BG,2025-05-26
BG,2025-09-08
CA,2024-09-02
CA,2024-12-25
CA,2025-01-01
CA,2025-04-18
CA,2025-07-01
CA,2025-09-01
CA,2025-12-25
HR,2024-11-01
HR,2024-11-18
HR,2024-12-25
HR,2024-12-26
HR,2025-01-01
HR,2025-01-06
HR,2025-04-20
HR,2025-04-21
HR,2025-06-19
HR,2025-05-01
HR,2025-05-30
HR,2025-06-22
HR,2025-08-05
HR,2025-08-15
HR,2025-11-01
HR,2025-11-18
HR,2025-12-25
HR,2025-12-26
CZ,2024-09-28
CZ,2024-10-28
CZ,2024-11-17
CZ,2024-12-24
CZ,2024-12-25
CZ,2024-12-26
CZ,2025-01-01
CZ,2025-04-18
CZ,2025-04-21
CZ,2025-05-01
CZ,2025-05-08
CZ,2025-07-05
CZ,2025-07-06
CZ,2025-09-28
CZ,2025-10-28
CZ,2025-11-17
CZ,2025-12-24
CZ,2025-12-25
CZ,2025-12-26
FR,2024-11-11
FR,2024-11-01
FR,2024-12-25
FR,2025-01-01
FR,2025-05-01
FR,2025-05-08
FR,2025-07-14
FR,2025-11-11
FR,2025-04-21
FR,2025-06-09
FR,2025-05-29
FR,2025-08-15
FR,2025-11-01
FR,2025-12-25
DE,2024-10-03
DE,2024-12-25
DE,2024-12-26
DE,2025-01-01
DE,2025-04-18
DE,2025-04-21
DE,2025-05-01
DE,2025-05-29
DE,2025-06-09
DE,2025-10-03
DE,2025-12-25
DE,2025-12-26
HU,2024-08-20
HU,2024-10-23
HU,2024-11-01
HU,2024-12-25
HU,2024-12-26
HU,2024-12-27
HU,2025-01-01
HU,2025-03-15
HU,2025-04-18
HU,2025-04-20
HU,2025-04-21
HU,2025-06-08
HU,2025-06-09
HU,2025-05-01
HU,2025-05-02
HU,2025-08-20
HU,2025-10-23
HU,2025-10-24
HU,2025-11-01
HU,2025-12-25
HU,2025-12-26
IE,2024-10-28
IE,2024-12-25
IE,2024-12-26
IE,2025-01-01
IE,2025-02-03
IE,2025-03-17
IE,2025-04-21
IE,2025-05-05
IE,2025-06-02
IE,2025-08-04
IE,2025-10-27
IE,2025-12-25
IE,2025-12-26
IT,2024-11-01
IT,2024-12-08
IT,2024-12-25
IT,2024-12-26
IT,2025-01-01
IT,2025-01-06
IT,2025-04-20
IT,2025-04-21
IT,2025-04-25
IT,2025-05-01
IT,2025-06-02
IT,2025-08-15
IT,2025-11-01
IT,2025-12-08
IT,2025-12-25
IT,2025-12-26
NL,2024-12-25
NL,2024-12-26
NL,2025-01-01
NL,2025-04-18
NL,2025-04-20
NL,2025-04-21
NL,2025-04-26
NL,2025-05-05
NL,2025-05-29
NL,2025-06-08
NL,2025-06-09
NL,2025-12-25
NL,2025-12-26
PL,2024-11-01
